Array 	 Signal 	 Distance 	 Angle 	 Channel 	 Pnoise[W] 	 Psignal[W] 	 SNR_FAC 	 SNR_DB[db]
A4 	 SX 	 40 	 67,5 	 average 	 1.2362958427029799e-05 	 0.00015450537417893156 	 12.484580506411577 	 24.85707541557006
A4 	 SX 	 40 	 67,5 	 1 	 1.0826278306810024e-05 	 0.00012962100502088308 	 11.972812941576418 	 24.826384912581474
A4 	 SX 	 40 	 67,5 	 2 	 1.288249569529149e-05 	 0.00015001015097956217 	 11.64449455507215 	 24.548334979350635
A4 	 SX 	 40 	 67,5 	 3 	 1.1870766773313292e-05 	 0.00015467085020085114 	 13.029558507422381 	 25.67220507786233
A4 	 SX 	 40 	 67,5 	 4 	 1.2634360284814213e-05 	 7.94355092598277e-05 	 6.287260096208012 	 18.385253790252293
A4 	 SX 	 40 	 67,5 	 5 	 1.1885187946827352e-05 	 0.00015697736445166577 	 13.207815068130202 	 25.80808705015429
A4 	 SX 	 40 	 67,5 	 6 	 1.2402249151024918e-05 	 0.00013102365754096842 	 10.56450777157147 	 23.57500059501956
A4 	 SX 	 40 	 67,5 	 7 	 1.4155589630592153e-05 	 0.00020821781864819927 	 14.70922964580806 	 26.88475163820406
A4 	 SX 	 40 	 90 	 average 	 7.592766570779918e-06 	 0.00018544251111856605 	 24.46126630040706 	 31.386101736244054
A4 	 SX 	 40 	 90 	 1 	 7.328651111456161e-06 	 0.00014533115933562524 	 19.8305468667274 	 29.87223519898667
A4 	 SX 	 40 	 90 	 2 	 7.912015826735116e-06 	 0.00014878969304649528 	 18.805535315504184 	 29.341512581751587
A4 	 SX 	 40 	 90 	 3 	 8.163471620443702e-06 	 0.00014199315201567444 	 17.39372152162352 	 28.561093090143178
A4 	 SX 	 40 	 90 	 4 	 7.111710223454652e-06 	 0.00017858694417323233 	 25.111673361527973 	 32.23332812188729
A4 	 SX 	 40 	 90 	 5 	 7.242188150220407e-06 	 0.00024837635473379184 	 34.29576111278369 	 35.35021763817244
A4 	 SX 	 40 	 90 	 6 	 7.324161067202531e-06 	 0.00010353847775707293 	 14.1365648307103 	 26.487646911171517
A4 	 SX 	 40 	 90 	 7 	 7.87375460457488e-06 	 0.0001915678477942992 	 24.329923577119448 	 31.917070156938866
A4 	 SX 	 60 	 00 	 average 	 1.1170087005634193e-05 	 0.00013516424281774688 	 12.129805157966832 	 24.677153731924612
A4 	 SX 	 60 	 00 	 1 	 1.0611847108280885e-05 	 0.0001719779610098312 	 16.206223031203432 	 27.85395306204937
A4 	 SX 	 60 	 00 	 2 	 1.1694870468754457e-05 	 0.00016098515090965006 	 13.765449676399495 	 26.221618061611977
A4 	 SX 	 60 	 00 	 3 	 1.0177249010636618e-05 	 8.645312578054018e-05 	 8.494744079680553 	 21.394476286760494
A4 	 SX 	 60 	 00 	 4 	 1.116940936093547e-05 	 0.00013646851956623034 	 12.218060521939783 	 25.02915227721591
A4 	 SX 	 60 	 00 	 5 	 1.0755641377801416e-05 	 0.00016990035951414356 	 15.796394984384769 	 27.597817484539352
